TARNet,0.18159744510856188,0.0884287983681932,0.17627303159118618,0.08875501921933958,0.7286856770515442,0.2757114099184877,0.11011604953097305,0.05511310249914288,0.0007698702658183447,0.00011482820523058236
TARNet + ZILN,0.13998580742699604,0.11633555113091833,0.13818419526422449,0.11891521234982985,0.8560997784137726,0.3055762544455811,0.039466404828999914,0.057721501771248414,0.0015299624431351017,0.00016182252208042774
TARNet + ZILN + Focal,0.12876069977044505,0.09729136801235072,0.1267108966234111,0.09777510938593965,0.8949281513690949,0.3517767408089254,0.036760056251481335,0.06146631906551057,0.0013207278019400403,0.00022697399346518327
TARNet + ZILN + Focal + WR,0.1171117722004161,0.09068484891027334,0.11385503503715229,0.0908263478400198,0.9698132753372193,0.3883542200473226,0.042935140849198125,0.06763119137425136,0.0013521636959762694,0.0001842250628539987
TARNet + ZILN + Focal + GTI,0.09985296711166372,0.16849367131944118,0.10063597215913438,0.17030361863484667,0.9591423153877259,0.40858422473329825,0.03258908508928813,0.08244458079106569,0.0016993115469259832,0.0005816860226854322
TARNet + ZILN + Focal + GTI + WR,0.10370064523183502,0.12650085522682616,0.105050116938681,0.12749535401637732,1.0287057757377625,0.33549695409334657,0.03235771552054162,0.08401587300762402,0.0014683397232819694,0.00014294525256744234
TARNet + UpliftRank,0.18062386282239287,0.08844729308685917,0.17527657872917884,0.08872374016747271,0.7358320355415344,0.27124679558972536,0.10661472417238549,0.05650287105492657,0.0007394847173582495,0.00013420515398173747
TARNet + UpliftRank + RespRank,0.1806903607412063,0.08840800120649055,0.17534379889871576,0.08868402201002919,0.7358320355415344,0.27124679558972536,0.10635392749814572,0.056940896771982386,0.0006379399225066424,8.193702400093466e-05
TARNet + ZILN + UpliftRank,0.18946615893514057,0.1119597616964823,0.1895829163566328,0.11582714051448638,0.9204898774623871,0.3182358330055047,0.0663969868132166,0.06080227004238557,0.0011439001054562548,0.00014674933756273517
TARNet + RERUM,0.19288431112503995,0.11810677671211063,0.19126446078131062,0.12180498557257587,0.7912955850362777,0.39770877010540406,0.08575620297912986,0.03909036653352806,0.0013017471483272596,9.354548360709201e-05
DragonNet,0.13345685206659572,0.12578439725036097,0.12746875208116032,0.12602542991640164,0.852119529247284,0.40170246842447715,0.08186760703992776,0.07113525198123274,0.0008250898818068066,0.00014137817922604384
DragonNet + ZILN,0.16728951984036283,0.09031648634844346,0.16462852339783693,0.09309847251957437,1.0424885272979736,0.3529778066335252,0.0758100773588955,0.058771953104057605,0.001397766565203075,0.00014781100408770248
DragonNet + ZILN + Focal,0.22410445903055548,0.05454373201706943,0.22234060803425787,0.054569958832756595,1.07934690117836,0.3395876656235041,0.10127353701625537,0.0484331909617715,0.001397637931742845,0.00023465475999525588
DragonNet + ZILN + Focal + WR,0.06744351141552425,0.16231576663025474,0.0652082671457962,0.1621258310877401,0.76844801902771,0.46144628921952313,0.001503716112832032,0.08301588477069638,0.0012718917206088994,0.00017224451909081992
DragonNet + ZILN + Focal + GTI,0.11016743863957437,0.1150319318065213,0.11022265140103644,0.1170580620270112,0.948732566833496,0.2652667726597645,0.05027724432845104,0.06685559675722051,0.001676647312554665,0.00045784668827475005
DragonNet + ZILN + Focal + GTI + WR,0.08175326265090568,0.12606649946652568,0.08194018286767903,0.12716195204410863,0.9320751368999481,0.4119765542262973,0.06472341729070799,0.05546984393582939,0.001478034324622081,0.00018766810508367372
DragonNet + UpliftRank,0.11214322084632862,0.11547080579511777,0.10607036137315573,0.11548726695480352,0.8188274383544922,0.41759924163652495,0.07925144531488823,0.07706971885284794,0.0006308165011814028,7.012305729465336e-05
DragonNet + UpliftRank + RespRank,0.11307893146422869,0.11639586002622881,0.10681313833355396,0.11621963296910985,0.8076120376586914,0.4056096019134008,0.0709435657645392,0.07148401518327688,0.0005963588826056639,5.69490842935606e-05
DragonNet + ZILN + UpliftRank,0.14225121269366828,0.17308818071637086,0.14078523730011167,0.17498535460345305,0.8446950137615203,0.407701125705612,0.07265120557454931,0.06795899307584924,0.001214868052445158,0.00016226583266949827
DragonNet + RERUM,0.1666496025879618,0.08832648152168783,0.16556602183224628,0.08836645700707137,0.9606245398521424,0.2557683382921635,0.06556211445579727,0.05404592115356766,0.0011555403208687058,0.0001722336179368616
CFR-MMD,0.18192692619534317,0.08898988489935519,0.17652381942796694,0.08931791986802066,0.7738939225673676,0.2480629378326159,0.10000966999227841,0.04924930128628792,0.0005572915565007939,7.25590310750441e-05
CFR-MMD + ZILN,0.14079098476208807,0.11566408325173211,0.13900476402524,0.11826844786894433,0.7934430301189422,0.2965731327154669,0.0335497838595955,0.06647207848353737,0.0011732878210454541,0.00011544040988760791
CFR-MMD + ZILN + Focal,0.1281101464311007,0.0985526592978375,0.12600596449189913,0.0991054292099996,0.9014071345329284,0.3446347990569792,0.039783159774442384,0.059750556306600436,0.001156398992678491,0.00013610007718157236
CFR-MMD + ZILN + Focal + WR,0.12691075110788846,0.09517982296999529,0.12396048966270719,0.09524306055004493,1.0408033579587936,0.3825318261474645,0.03982617501799282,0.054704512238014376,0.00122259697876707,0.00023258649508209792
CFR-MMD + ZILN + Focal + GTI,0.10409626079553669,0.13791201608952722,0.10279368371368713,0.13908529900934816,0.8649364650249481,0.3945512526906914,0.025056468449489454,0.07089926530406251,0.0013482746691943369,0.00021070185651285523
CFR-MMD + ZILN + Focal + GTI + WR,0.06266076812401852,0.12025343570762621,0.061020899766870494,0.1208092962014502,0.8356689274311065,0.2891509200184378,0.009959473473320296,0.06629253999767634,0.0013144487763294159,0.0002054291636260882
CFR-MMD + UpliftRank,0.18254397785127913,0.08932867229332486,0.1771479329420619,0.08965297237924312,0.7895142257213592,0.26123674058346785,0.10452999670503815,0.052381338713503034,0.0006722517742714629,8.142960519752427e-05
CFR-MMD + UpliftRank + RespRank,0.1825472253889115,0.08932770636458912,0.17715142670118383,0.08965329339017895,0.7895142257213592,0.26123674058346785,0.1046755604245374,0.05257124230241594,0.000622487176496098,7.850391025856915e-05
CFR-MMD + ZILN + UpliftRank,0.20503771202921778,0.1305895705837032,0.20452187080369258,0.13423493829576472,0.9100834369659424,0.304367297382455,0.07912855755172225,0.06568044506963114,0.0012141646562086055,7.635564229668244e-05
CFR-MMD + RERUM,0.20750367731662056,0.1117022501128443,0.2071935111005546,0.11438948498348224,0.839756777882576,0.30409499906368537,0.0893477717344205,0.0439205664299293,0.0012717693520642986,0.0001721264282732063
CFR-WASS,0.18907917962946275,0.09090833152898481,0.18435828038717625,0.09372562991679469,1.3375426888465882,0.38478768544190517,0.0915136322441744,0.05257248547609684,0.0006679744822308962,9.459352554172451e-05
CFR-WASS + ZILN,0.12639848873526333,0.08823548572890791,0.1252729515867151,0.0902882727661489,0.751514607667923,0.24109422750909462,0.04659978457345702,0.03016830005272575,0.0012467628176275974,0.00011802730798710672
CFR-WASS + ZILN + Focal,0.09318498925597982,0.09889767899016243,0.09198452136263777,0.09908451552956377,0.8598432540893555,0.3049497688425302,-0.017455472534639277,0.06743257400907486,0.0011999930789045403,0.00017185927868035444
CFR-WASS + ZILN + Focal + WR,0.13276801667154536,0.1207664866749182,0.1331286877763978,0.1237201558054599,0.9083349764347076,0.25856915991623364,0.021617017286755805,0.08391977606303964,0.0012284878790740947,0.00010379164648563367
CFR-WASS + ZILN + Focal + GTI,-0.0013620511775941202,0.10608441715793133,-0.00277198519021542,0.10618085339598145,0.6494097113609314,0.36998430668966176,-0.014096322285627813,0.06626057808375413,0.0014715854900984589,0.00022574856096938017
CFR-WASS + ZILN + Focal + GTI + WR,0.07769346757756249,0.14698942885317756,0.07852108494568895,0.14729700055416445,0.8264417886734009,0.48670779575418943,-0.006249784115142447,0.10386650645628923,0.0015353944018284495,0.00017721528287850316
CFR-WASS + UpliftRank,0.19736215611179606,0.09108686399405282,0.19265323354498648,0.09381923312569078,1.333202350139618,0.38062927255344714,0.08636550975321211,0.039600051572813474,0.0006591126941653427,8.77526883409527e-05
CFR-WASS + UpliftRank + RespRank,0.19732214358532807,0.09106622122485648,0.19262058434229382,0.09380217899170795,1.333202350139618,0.38062927255344714,0.08556345769926917,0.04020009572408116,0.0006536643285241486,8.277267162973665e-05
CFR-WASS + RERUM,0.19841261666187346,0.10064738090644404,0.19834330984005885,0.10177611670706965,1.0783350467681885,0.3550664985420316,0.08071189002865535,0.05145926700445576,0.0013227745405330852,0.00010698357181316931
EFIN,0.10856112366806325,0.1096105239784653,0.10221562838916251,0.1081942776099687,0.8637733459472656,0.343027466977624,0.04844711467266318,0.046024595041134805,0.0012651448999132706,0.00011935258142217612
EFIN + ZILN,0.14420983633471132,0.12346539712595384,0.13974779092690506,0.1272556489714975,0.9248588860034943,0.28392879052514514,0.04060597423415855,0.06889024884522055,0.001637144946732864,0.00010497711174817119
EFIN + ZILN + Focal,0.07371664305001197,0.17538964439392812,0.06896692533849731,0.17532582009380773,0.6614878475666046,0.4686006974971744,0.019915347699089102,0.0891291480400395,0.001809692177120522,0.0002209900073645206
TARNet,-0.018049931284158393,0.09663624120531016,-0.023175339144200474,0.0959710032841502,0.5972159504890442,0.29253469277844235,0.003648674464319584,0.052268056649871705,0.0006767703561191467,5.5836057360125024e-05
